presenter,links
Craig Redmond,"['https://www.youtube.com/watch?v=EdYuuuU0uQA', 'https://www.youtube.com/watch?v=dfAqK2XBtxY', 'https://youtube.com/watch?v=ZfM5n5Mf-ww']"
Najia Hyder,['https://www.youtube.com/watch?v=7YAIOSppD-Y']
